company,country,website,description,source,public_contact
Meditec Consulting,Switzerland,https://www.meditec-consulting.ch/,"Meditec Consulting is a firm that specializes in Regulatory and Quality Consulting services throughout the product life-cycle to help manufacturers comply with these regulatory requirements. Firms consultants have many years of experience with different regulations in various countries for medical devices, In-vitro Diagnostics, Combination Products, Pharmaceuticals, and Biologics. Recommended Reading: How To Choose the Right Consultant for Your Medical Device In case you want to suggest another consultancy or would like to see your consulting firm to be featured on the list, just contact us . ",SimplerQMS,
Aston Life Sciences,Switzerland,https://www.consultys.ch/,"Aston Life Sciences offers Consulting and Recruitment services for its clients in the Life Sciences Industries like Pharma, Biotech, Medical Devices, Cosmetic, Diagnostic, Drug Delivery Devices, and others. The firm is usually involved in consulting projects like Engineering, Quality Assurance, Regulatory Affairs, Clinical Trials, GxP information systems, and more.",SimplerQMS,
ATP-CGPharm Group,Switzerland,https://atp-cgpharm-group.com/,"The ATP-CGPharm Group is a consultancy that helps to support the improvement of the manufacturing processes and quality programs to ensure medical product quality, patient safety, and strict compliance with regulatory requirements. The company offers a broad range of services in GxP Engineering, Commissioning, Qualification & Validation, Quality Assurance, Quality Control, and Environmental Monitoring.",SimplerQMS,
MHHC,Switzerland,https://mhhc.ch/,"MHHC is a Pharmaceutical consulting company that provides a full range of services for Pharmaceutical or Biotech companies planning to expand their operations into Switzerland. The firm’s service offering includes the core aspects of pharmaceutical or biotech subsidiary establishment in Switzerland – financial and legal set-up, medicinal product approvals, and required pharmaceutical licenses.",SimplerQMS,
InsideReg,Switzerland,https://insidereg.com/,"InsideReg is a small Regulatory Affairs Consultancy specializing in Chemistry, Manufacturing, and Controls (CMC) and Regulatory strategy. The firm works with companies of all sizes: from start-ups to top ten pharma, and at all stages of product development: from proof of concept to post-marketing activities.",SimplerQMS,
Maxia Strategies,Switzerland,https://maxiastrategies.com/,Maxia Strategies is a Life Sciences Regulatory consultancy. The firm specializes in creating efficient product development strategies and providing supporting regulatory services. Maxia Strategies helps small to medium-sized enterprises maximize the value of their products throughout their development lifecycle.,SimplerQMS,
ObelysQ,Switzerland,https://obelysq.com/en/home,"ObelysQ is a dynamic consulting company providing high-level expertise and innovative tailored solutions to the Pharmaceutical industry to optimize the execution of Clinical Trials. The firm offers services like GCP consulting, GCP and GVP auditing, SOP Development, Health Authority inspections, Training and Gap Analysis.",SimplerQMS,
Intilaris LifeSciences,Switzerland,https://pharma.intilaris.com/,"Intilaris is a consulting and services company focused on helping Pharma companies to foster innovation, improve productivity and performance, and develop effective business strategies. The company delivers expertise across Strategy, Consulting, Digital, Technology, and Operations and specialize in areas like Project Management, Risk Management, Quality Management, Clinical Trial Management, Validation, and more.",SimplerQMS,
PharmInsight,Switzerland,https://www.pharm-insight.com/,"PharmInsight is specializing in business development and portfolio optimization for companies in Life Sciences. Its clients are in Pharmaceutical, Biotech, Medical Devices, Diagnostics, R&D industries from across the globe. PharmInsight has experience in Portfolio optimization, Out-licensing and partnering Services, In-licensing services, Strategy Consulting, and Market Access Services.",SimplerQMS,
Phact,Switzerland,https://phact.ch/,"Phact is a Swiss-based company and operates worldwide and specializes in supporting companies in different areas of Drug Regulatory Affairs. The company provides support in the fields of Quality, Quality Management, GMP, Regulatory Affairs, and Training. Its customers come from all over the world and from all sectors of the Pharmaceutical and Biotech industry. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant If you would like to suggest a consulting company or, perhaps, would like to see your consulting firm be featured among the other Pharmaceutical consulting fir",SimplerQMS,
THAY Medical,UK & Ireland,https://www.thaymedical.com/,"THAY Medical is a new innovative Human Factors Engineering consultancy based in the UK. They are an organization focused on providing expertise on human factors for medical products. This includes medical devices, healthcare systems, and pharmaceutical (Drug delivery) devices.",SimplerQMS,
ECT Healthcare Consultancy,UK & Ireland,https://www.ecthealthcare.com/,"ECT Healthcare Consultancy provides Regulatory, New Product Development, and Commerical consultancy services to the Medical Device and Healthcare Technology Industries. Collaborating with cutting-edge healthcare SMEs and larger OEMs.",SimplerQMS,
Sensus Group,UK & Ireland,https://sensus-group.com/,"Sensus offers specialist consultancy, training and resource in delivering and implementing compliance of the new EU medical device (EUMDR 2017/745) and in-vitro (IVDR 2017/746) regulations.",SimplerQMS,
Haughton Design,UK & Ireland,https://haughtondesign.co.uk/,"Haughton Design’s product design & medical device development services were created to deliver a first-class solutions to their clients. They provide a complete package, from concept design to industrialization, rather than just producing ‘aesthetic, blue sky’ design work.",SimplerQMS,
Psephos Biomedica,UK & Ireland,https://www.psephos.com/,Psephos Biomedica was founded in 2001 and works with clients from around the world to help them bring medical technologies to market. They pride themselves on high focus and experienced team.,SimplerQMS,
Advena Medical,UK & Ireland,http://www.advenamedical.com/,Advena Ltd. was founded in 1996 and provides cost-effective regulatory affairs consulting services to small and medium-sized medical device manufacturers and distributors seeking to import their medical devices into the European Union.,SimplerQMS,
Meddev Solutions,UK & Ireland,https://www.meddevsolutions.co.uk/,"Team of experienced UK based medical device consultants, working in the medical device industry for both manufacturers and notified bodies. Meddev was voted the ‘Best-In-Class’ Medical Device Regulatory Consultancy company of 2020 by MedTech Outlook magazine.",SimplerQMS,
Flintloque Management Systems,UK & Ireland,https://www.flintloque.co.uk/,Flintloque implements an International Management System Standard to help their customers access restricted markets and get a step ahead of their competition. Flintloque is a leading consultancy with rich experience.,SimplerQMS,
Confinis,UK & Ireland,https://www.confinis.com/,"Regulatory consultancy specializing in providing advice and services to the medical device, combination product, and IVDD manufacturers.Particular expertise in new product development from idea through registration to commercialization and post-market activities.",SimplerQMS,
Triune Technologies,UK & Ireland,http://triunetech.co/,"Medical Device Consultancy that offers hands-on support for quality systems, including ISO 13485, 21 CFR 820, CMDCAS, auditing, gap analysis, mock regulatory inspections, process validation, regulatory submissions on 510k, CE Mark.",SimplerQMS,
Sterile Management Systems,UK & Ireland,https://www.sterilemanagementsystems.com/,"Auditing, training and consultancy services for medical device industry with a focus on design, quality management and regulatory compliance and special expertise in decontamination and sterilisation.",SimplerQMS,
Arevna Consulting,UK & Ireland,https://www.arevnaconsulting.com/,"Arevna Consulting is a global solutions provider with over 20 years’ industry experience specializing in Quality and Regulatory compliance for Small, Medium, and Large scale Medical device manufacturers.",SimplerQMS,
Springboard Pro,UK & Ireland,https://www.springboard.pro/,Springboard specializes in the development of medical devices from concept to manufacture for regulated markets.,SimplerQMS,
Prosum Medical,UK & Ireland,https://www.prosummedical.co.uk/,"Prosum specializes in the design, development, manufacture, commercialization, and distribution of medical devices for the global healthcare market.",SimplerQMS,
Lorit Consultancy,UK & Ireland,https://lorit-consultancy.com/,"Lorit Consultancy offers consultancy, support, training and online-courses in functional safety related projects in the medical, automotive and reliability sectors. Medical: IEC 60601-1, IEC 62304, ISO 14971, IEC 62366-1, AAMI TIR57 Automotive: ISO 26262, Automotive SPICE®, SAE J3061, IEC 61508 Reliability: IEC 61709, SN 29500, FIDES and DO-178C and DO-254 Quality Management: IATF 16949, ISO 13485 and ISO 9001",SimplerQMS,
AlacraMed,UK & Ireland,https://www.alacramed.com/,Alacramed was formed as a spin-out from leading biopharma life science consultancy Alacrita. This allowed Alacramed to enhance its focus on a growing number of medical device clients.,SimplerQMS,
GMP Healthcare,UK & Ireland,https://www.biosynergyconsulting.co.uk/,A team of more than 30 permanent professionals that includes experienced pharmaceutical consultants to provide support and advice across the product life-cycle.,SimplerQMS + SimplerQMS,
International Device Solutions,UK & Ireland,https://www.idevices.ch/,"Independent and nonexclusive consultant and subject matter expert for global pharmaceutical, medical device, financial and legal companies. From unmet needs to manufacturing control and scale-up.",SimplerQMS + SimplerQMS,
Clarity Compliance Solutions,UK & Ireland,https://www.clarity-compliance.com/,"Clarity Compliance Solutions is a leading international consultancy providing a wide range of compliance services for the regulated industries including Pharmaceutical, Biotech, Research & Development, Blood, Medical Device, and associated equipment and system suppliers.",SimplerQMS + SimplerQMS,
Datod Consulting,UK & Ireland,https://www.datod-consulting.co.uk/,"Datod provides process improvement and change management consultancy to small to medium-sized organizations helping them unravel complexity from their organizations. Particular focus on improving Quality Management Systems to improve efficiency, effectiveness, and compliance.",SimplerQMS,
Guide Consulting,UK & Ireland,https://guideconsulting.co.uk/,"Established to support small to medium-sized businesses with developing and maintaining their management system. Services include ISO 9001, ISO 14001, ISO 45001, ISO 27001, ISO 22301, and ISO 13485.",SimplerQMS,
Commala,UK & Ireland,https://www.commala.co.uk/,"Commala specializes in the development of medical devices and combination products, including planning, project managing, design history file compilation, and safety risk management. More than 13 years of experience in Pharmaceutical Medical Device and Combination Product development.",SimplerQMS,
The Electrospinning Company,UK & Ireland,https://www.electrospinning.co.uk/,"Electrospinning supports the development of electrospun medical devices from concept or prototype to the market with over 30 years of combined experience in biomedical electrospinning. Recommended Reading: How To Choose the Right Consultant for Your Medical Device Here are the lists of Medical Device consultancies that provide their solutions primarily in other countries, such as: Author Jakub Kizek Marketing and Sales Assistant Join 5,000+ Quality and Regulatory Professionals in Life Sciences A weekly newsletter packed full of insights about quality. One email. Every Thursday morning. Handpic",SimplerQMS,
Repower Quality,UK & Ireland,https://repowerquality.com/,"Owned by Rebecca Power, Repower Quality provides Quality Assurance consultancy and Electronic Quality Management System (EQMS) implementation support, primarily to the cGMP-regulated Pharmaceutical and Biopharmaceutical industry in Ireland.",SimplerQMS,
H2 Pharma Consulting,UK & Ireland,http://www.h2pharma.co.uk/,"H2 Pharma Consulting is a specialist Consultancy Group providing comprehensive product development services to the Biotech and Pharmaceutical Industry, Research Institutions, and Academia. The scope of their services spans the spectrum of drug product development activities from early pre-clinical evaluation through to full development and product registration.",SimplerQMS,
Pharma Quality Partners,UK & Ireland,https://www.pharmaqpltd.com/,"Pharma Quality Partners Ltd was established in 2013 with the vision of achieving “Quality Excellence Through Partnership”.  Their Consultancy includes GMP, Pharmaceutical Quality Assurance, and Qualified Person related services.",SimplerQMS,
QVigilance,UK & Ireland,https://www.qvigilance.com/,QVigilance is committed to delivering quality-driven pharmacovigilance services with a focus on clinical trial and post-authorization needs.,SimplerQMS,
The GMP Group,UK & Ireland,https://www.thegmpgroup.com/,The GMP Group is an international consulting company with over 40 years’ experience in Pharmaceutical Validation and Compliance Validation of Processes in line with Regulatory Requirements.,SimplerQMS,
Compliance Angels,UK & Ireland,https://complianceangels.com/index.html,"Compliance Angels, a consultancy company, which provides comprehensive, expert, and quality compliance advice and services to the pharmaceutical industry.",SimplerQMS,
Drive Phase PV,UK & Ireland,https://www.drivephasepv.com/,"Drive Phase PV provides pharmacovigilance and device-vigilance support and auditing in both clinical and post-marketing settings, with particular expertise in oncology and biologics.",SimplerQMS,
Alacrita Consulting,UK & Ireland,https://www.alacrita.com/,"Alacrita is ready to support you through every step of the pharmaceutical product development process, leveraging their scientific, clinical, and commercial expertise to help you maximize value at each stage.",SimplerQMS,
bioSynergy Consulting,UK & Ireland,https://www.biosynergyconsulting.co.uk/,"bio Synergy Consulting is well connected within the industry and works closely with a wide range of experts in manufacturing, testing, quality, and regulatory affairs.",SimplerQMS,
Strickland Quality Assurance,UK & Ireland,http://www.stricklandqa.com/,Strickland Quality Assurance is an independent QA consultancy providing bespoke GCP services for the healthcare industry. All types of clinical audit and regulatory inspection support are available.,SimplerQMS,
ZigZag,UK & Ireland,http://www.stricklandqa.com/,"Zigzag has offices located in the UK, USA, and Singapore as well as a consultant network that extends our team to more than 70 experienced QA professionals based around the world.",SimplerQMS,
CommQP,UK & Ireland,https://www.commqp.co.uk/,Mukesh Patel established CommQP with the purpose of providing a combination of technical and commercial consultancy services with a main focus on the Pharmaceutical sector.,SimplerQMS,
Purple Vigilance,UK & Ireland,http://purplevigilance.co.uk/,"The aim of Purple Vigilance is to ensure patient safety, whilst maintaining compliance with legislative requirements. They aim to provide high quality and cost-effective solutions, to support the requirements of companies of all sizes.",SimplerQMS,
Iolite Pharma Consulting,UK & Ireland,http://www.iolitepharma.com/,"Iolite Pharma Consulting offers a combination of Quality Assurance and Regulatory Affairs expertise, supported by a considerable senior management experience.",SimplerQMS,
Semper Vigilance,UK & Ireland,http://www.sempervigilance.com/index.html,"Semper Vigilance is an innovative company based in London that currently works with a number of pharmaceutical companies to help meet their pharmacovigilance requirements. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant Here are the lists of Pharmaceutical consulting firms providing their services mainly in other countries, such as: Author Jakub Kizek Marketing and Sales Assistant Join 5,000+ Quality and Regulatory Professionals in Life Sciences A weekly newsletter packed full of insights about quality. One email. Every Thursday morning. Handpicked Articles Every ",SimplerQMS,
Genau & More,Denmark,https://genauandmore.com/en,"Genau & More provides a wide range of compliance services to Life Science companies to ensure that patient safety is never compromised and that the organization is always inspection-ready. Some of the onsite and offsite services that Genau & More offers are project management, validation, training, quality & compliance. Recommended Reading: How To Choose the Right Consultant for Your Medical Device The aforementioned consultants we find one of the better ones in Denmark. In case you have other suggestions or would like to see your consultancy firm among the best Medical Device consulting firms",SimplerQMS + SimplerQMS + SimplerQMS,
SAXOCON,Denmark,https://www.saxocon.com/,"SAXOCON is a consulting company that helps Medical Device and other product manufacturers test, document, and certify that their products are in compliance with regulations and guidelines both in the EU and worldwide. The firm also provides specific Medical Devices services for drug products, breathing gas pathways, in vitro diagnostic, stents, and implants.",SimplerQMS + SimplerQMS,
RAQA,Denmark,https://raqa.dk/en/,"RAQA advises and supports medical device companies and local councils/hospitals in Regulatory Affairs and Quality Assurance compliance from their office in Ringsted, Denmark. Their goal is to provide clients with the tools to understand and navigate the applicable regulations, guiding and supporting their compliance processes as needed.",SimplerQMS,
IWA Consulting,Denmark,https://iwaconsulting.dk/,"IWA Consulting is a group of regulatory affairs specialists providing expert services to a range of international private and public clients within industries like Medical Device, Biotech, and Pharma. The consulting firm has long-term experience within regulatory affairs, in-depth knowledge, and an understanding of the sense of urgency that applies to this business area.",SimplerQMS + SimplerQMS,
Pharmaceutical Engineering Consultants (PEC),Denmark,http://www.pec.dk/,"Pharmaceutical Engineering Consultants (PEC) is an innovative engineering consultancy that assists and manages projects within the Life Science industry. The firm has grown into one of the leading consultancy companies in Denmark within the field of production of Pharmaceuticals, Medical Devices and can contribute to most phases of a device project.",SimplerQMS + SimplerQMS,
Qmed Consulting,Denmark,https://www.qmed-consulting.com/,"Qmed Consulting is a global full-service Contract Research Organization (CRO) based in Copenhagen, Denmark. The firm provides strategic consulting services in connection with Medical Device approval as well as best-in-class expertise in clinical affairs, regulatory affairs, quality management, and commercial healthcare.",SimplerQMS + EAAR,
SPT VILECON,Denmark,https://www.sptvilecon.com/,"SPT VILECON is offering customer-oriented consultancy, design, development, and construction services to the Medical Device and Pharmaceutical industries. The firm specializes in between design, development, and construction of Medical Devices on one hand, and injection molding on the other.",SimplerQMS + SimplerQMS,
Emendo Consulting Group,Denmark,https://www.emendo.com/,"Emendo Consulting Group’s background-origin is within the Pharmaceutical and Food industry, but nowadays the company works across all industries, including Medical Device and Pharmaceutical. The firm provides unique process expertise to all phases of a product lifecycle, from early development, the establishment of new equipment/production facilities to process optimization.",SimplerQMS + SimplerQMS,
Medicologic,Denmark,https://medicologic.com/,"Medicologic has a team of dedicated freelance consultants and specialists that help companies develop solutions that meet the expectations, requirements, and challenges in the Medtech and Pharma markets. The consulting firm provides services like In-Housing, MDR- & IVDR, Service Agreements, QMS, and others.",SimplerQMS,
AlfaNordic,Denmark,https://alfanordic.com/,"AlfaNordic is a consulting company with more than 90 employees working in the Life Science industry. The firm specializes in Pharmaceutical production, Project management, Management consulting, Validation, Production support, IT/AUT, QA/QC, Medical device, Regulatory Affairs (RA), and Pharmacovigilance (PV).",SimplerQMS + SimplerQMS,
Technolution,Denmark,https://technolution-tn.com/,"Technolution is a consulting company that helps Medical Device companies within areas like Mechanical engineering, Usability Engineering (HFE), Design & User Experience (UX), Test & Verification, Design Control, Business Development, and Quality Management. The firm also retains a special focus on Pharma companies, as well as MedTech start-ups.",SimplerQMS,
Sigma Quality & Compliance,Denmark,https://www.sigmaqnc.com/en/,"Sigma Quality & Compliance offers consultancy services within various processes such as production, product development, research, testing, and purchasing. The company has a long and solid experience in Life Science, including Medical Device and Pharmaceutical and other quality-controlled businesses.",SimplerQMS + SimplerQMS,
Borgensgaard Consulting,Denmark,https://borgensgaard-consulting.dk/,"Borgensgaard Consulting provides a variety of consulting services to companies in the Life Science industry like Medical Device, Pharmaceutical, and Biotech but is also very relevant for other industries. The firm specializes primarily in Quality Leadership, Quality Management, Regulatory Compliance, and Human Behavior.",SimplerQMS + SimplerQMS,
Aquilo Consulting,Denmark,https://aquiloconsulting.com/,"Aquilo Consulting is an international management consulting firm specialized in developing and implementing growth strategies for private healthcare companies and public healthcare organizations. The company helps Medical Device, Pharmaceutical companies, and other healthcare providers grow the quality, efficiency, and profitability of their businesses.",SimplerQMS + SimplerQMS,
PHARMAKIA,Denmark,https://www.pharmakia.dk/,"Pharmakia is a Private Limited Company managed by an owner who is also a consultant. The owner of the consulting firm, Stephane Labrosse, can help you in the areas of Project Management, Quality Assurance, Regulatory Affairs, Validation, and Technical Expertise in Medical Device and Pharmaceutical development. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant The consultant list above includes one of the better firms in Denmark. If you would like to recommend us other companies or would like to see your consulting company be featured among the best Pharmaceutical co",SimplerQMS + SimplerQMS,
MEDQURE Consultancy,Denmark,https://www.medqure.se/,"MEDQURE provides Regulatory Affairs courses and consultancy to Medical Device manufacturers in Project management, Quality Assurance, Product development, and other field areas. The firm offers consulting services to medium and large Medtech, Diagnostic, Rehab, Dental, and Telemedicine companies.",SimplerQMS,
Nordic Pharma Consulting,Denmark,http://www.nordicpharmaconsulting.com/,"Nordic Pharma Consulting has solid know-how in various Pharmaceutical areas. It offers services within Project Management, Consulting, Personal Management, Business Strategy, Implementation of Business Opportunities, Industry Assessment, Business Process Optimization, Strategic Performance Measurement & Reporting, Innovation & Patents, as well as People Management.",SimplerQMS,
NORD Pharma Partners,Denmark,https://nordpharmapartners.com/,"NORD Pharma Partners offer a variety of consulting services for the Pharmaceutical industry in the EU. The company can assist with a specific task, as well as provide a permanent or long-term solution in core areas of expertise: Regulatory Affairs, Pharmacovigilance, Contract Manufacturing, Clinical Trial Supply, and QA/QP Services, GMP.",SimplerQMS,
Billev Pharma,Denmark,http://billevpharma.dk/,Billev Pharma specializes in Regulatory Affairs and Pharmacovigilance for the Pharmaceutical industry and helps in situations where the companies in question either have no specialized staff or have too little capacity. Over the years the consultancy assisted companies with assignments ranging from national registrations over the Mutual Recognition to Decentralised and Centralised procedures.,SimplerQMS,
Zealth,Denmark,https://www.zealthcon.com/,"Zealth helps healthcare companies, including Pharmaceutical firms bring their products to patients. The consulting firm aims to break down the silo mentality when it comes to sales, marketing, medical and corporate affairs. Thus, its area of expertise is Marketing, Pricing, Reimbursement & Access, Medical Affairs, and Health Economics.",SimplerQMS,
TriTiCon,Denmark,https://www.triticon.com/,"TriTiCon is an eClinical consulting company with expertise in Clinical Data Processes and Systems. From strategy to end-user training, the TriTiCon can help Pharmaceutical companies all the way in establishing their end-to-end solution for handling clinical data. The firm focuses on areas like Subject Matter Expertise, Strategic Understanding, and Project Management.",SimplerQMS,
Sply,Denmark,https://www.sply.dk/,SPLY is a clinical trial supply consultancy and technology company working closely with innovative Pharmaceutical and Biotech organizations. The company provides consulting services wihtin clinical trial supply management and project management based on technical expertise combined with a broad understanding of the business processes within the clinical area.,SimplerQMS,
Solural Pharma,Denmark,https://soluralpharma.com/,"Solural Pharma has strong expertise in all aspects of Pharmaceutical development and uses this to offer consultancy support to solve CMC development, and project management needs as well as CRO/CMO expertise providing solutions for low soluble oral drugs.",SimplerQMS,
Zwiers Regulatory Consultancy,Netherlands,https://www.az-regulatory.com/,"Zwiers Regulatory Consultancy provides full regulatory support for Medical Device and Pharmaceutical companies, throughout the entire product lifecycle. From initial clinical trial application to post-marketing compliance. The consulting firm’s services include Regulatory Strategic Advice, Medical Writing, Regulatory Intelligence, and Training.",SimplerQMS + SimplerQMS,
Seuss Consulting,Netherlands,https://consultseuss.com/,"Seuss Consulting provides various consulting services to companies within the Pharmaceutical, Biotech, Medical Device industries, and CRO & specialty suppliers. The firm specializes in business consulting services like Vendor Selection and Management, Outsourcing, Insourcing Strategies, and Company Analysis.",SimplerQMS + SimplerQMS,
PCS – Pharmaceutical Consultancy Services,Netherlands,https://www.pcs-nl.com/,"PCS – Pharmaceutical Consultancy Services provides specialized services to the Pharmaceutical, Medical Devices, and related health care industries to meet current regulatory requirements. Due to its extensive network of associates, PCS can provide a specialized project team to meet all GxP/ QA/ Validation/ Training and Regulatory requirements.",SimplerQMS + SimplerQMS,
Interdos,Netherlands,https://www.interdos.nl/,"Interdos offers consultancy services for Human Pharmaceutical products, Medical Devices (CE products), and Nutraceuticals. The firm has a team of experts in a range of professional services: Regulatory Support, Clinical Studies, Pharmacovigilance Services, and Quality Assurance activities.",SimplerQMS + SimplerQMS,
CEpartner4U,Netherlands,https://www.cepartner4u.com/,"CEpartner4U serves as a consultant and Authorized Representative (AR or EC Rep) under the European Medical Device Directives. CEpartner4U services include on-site and cyber consulting for all products under the Medical Device Directive (MDD), in-vitro diagnostic Device Directive (IVDD), and Active Implantable Medical Device Directive (AIMDD). Main areas of expertise include Regulatory Affairs, Quality Systems, Clinical Evaluation, and Training.",SimplerQMS + EAAR,
2BMedical,Netherlands,https://2bmedical.com/,"2BMedical is a small firm that develops Medical Device Concepts and provides as well consultancy as contract research to its customers. It provides consultancy services such as Business Development, Marketing, Feasibility, and Due Diligence Studies, Project and Innovation Management, Management Consultancy, Clinical Studies, Congresses, Text Writing. Recommended Reading: How To Choose the Right Consultant for Your Medical Device If you would like to tell us about other consulting firms or would like to see your consultancy be featured on the list above, just contact us . Note that every new in",SimplerQMS,
PSR Orphan Experts,Netherlands,https://orphandrugexperts.com/,"PSR is a full-service Orphan Drug CRO, it provides Biopharmaceutical companies with a variety of services that allow end-to-end solutions spanning the whole Orphan drug development cycle. The firm can support clients with an integrated approach from Regulatory Strategy through to conducting the necessary Clinical Studies in all development phases.",SimplerQMS,
DADA Consultancy,Netherlands,https://www.dada.nl/,"DADA Consultancy is one of the leading independent consulting agencies for Regulatory Affairs in Europe, the firm offers a full range of high quality and tailored regulatory and pharmacovigilance services for human and veterinary products. DADA Consultancy has a team of experts is highly trained Chemical, Pharmaceutical, and Biomedical professionals, supported by a wide network of external scientific experts.",SimplerQMS,
BMclinical,Netherlands,https://www.bmclinical.com/,"BMclinical offers a unique approach to clinical trial supply and aims to simplify the Pharmaceutical companies’ supply chain whilst providing the highest level of service and patient safety. Through experience and collaboration, the company offers services like Commercial Drug Sourcing, Supply Management, and Global Distribution.",SimplerQMS,
CURARE,Netherlands,https://www.curareconsulting.com/,"CURARE is a consultancy firm that specializes in designing strategies for early clinical drug development programs. The firm has a team of experts that have a strong drive and a pragmatic approach to make each project successful within the budget and time constraints given. CURARE’s main areas of expertise are Strategic Clinical Drug Development, Clinical Pharmacology, and Clinical Regulatory support.",SimplerQMS,
Occams,Netherlands,https://www.occams.com/,"Occams provides strategic services to companies in the Pharmaceutical industry. The firm offers its services not only in the Netherlands but also globally, and specializes in the field of population pharmacokinetics, advanced PK/PD modeling, and drug-disease modeling and simulation. In addition, Occams offers services in the area of preparation and/or review of documentation for regulatory submissions.",SimplerQMS,
Progress-PME,Netherlands,https://www.progress-pme.nl/,"Progress-PME consultancy partner for businesses in the Pharmaceutical and Biotechnology industries, as well as the Healthcare sector. The company provides knowledge and expertise in phases ranging from drug development to commercial manufacturing. Progress-PME operates primarily in The Netherlands and offers services related to Project Management, Engineering, Validation, and Quality Assurance.",SimplerQMS,
Regivet,Netherlands,http://regivet.com/,"Regivet is a small, independent consulting firm that specialized in the development and registration of veterinary pharmaceuticals in Europe. the company has experience in the development of different formulations like tablets, powders, injection fluids (solutions and suspensions), intramammary, and topical products.",SimplerQMS,
DGr Pharma,Netherlands,https://www.dgrpharma.com/,"DGr Pharma aims to promote a fast and high-quality drug development process in close cooperation with the Pharmaceutical and Biotech companies through consultancy and contract research services. DGr Pharma provides consultancy services in early phase drug development with a focus on PK, Clinical Pharmacology, CMC, Regulatory Affairs, and IT support.",SimplerQMS,
Kantisto Separation Sciences,Netherlands,https://www.kantisto.nl/index.php,"Kantisto is an independent Chemical and Pharmaceutical analysis consultancy that offers support in practical and strategic issues through long or short-term assignments, such as Method Development, Validation, and Implementation. Furthermore, Kantisto can assist in the areas of quality by design, pragmatic quality systems, and document writing and reviewing. The firm also provides in-company training and courses.",SimplerQMS,
AUTHOR! Data Analysis and Reporting,Netherlands,https://www.author.nl/,"AUTHOR! provides medical writing services and data analysis support for a large number of Pharmaceutical and Biotechnical companies throughout Europe. The company works in close collaboration with international multidisciplinary clinical teams of medical professionals, advisors, regulatory affairs specialists, statisticians, data managers, SAS-programmers, and document formatting experts.",SimplerQMS,
