company,country,icp_fit,icp_signals,description,founder,public_contact,website,source
MEDQURE Consultancy,Denmark,GOOD,regulatory/QA focus,"MEDQURE provides Regulatory Affairs courses and consultancy to Medical Device manufacturers in Project management, Quality Assurance, Product development, and other field areas. The firm offers consulting services to medium and large Medtech, Diagnostic, Rehab, Dental, and Telemedicine companies.",(enrich from site),(enrich from site),https://www.medqure.se/,SimplerQMS directory
NORD Pharma Partners,Denmark,GOOD,regulatory/QA focus,"NORD Pharma Partners offer a variety of consulting services for the Pharmaceutical industry in the EU. The company can assist with a specific task, as well as provide a permanent or long-term solution in core areas of expertise: Regulatory Affairs, Pharmacovigilance, Contract Manufacturing, Clinical Trial Supply, and QA/QP Services, GMP.",(enrich from site),(enrich from site),https://nordpharmapartners.com/,SimplerQMS directory
Billev Pharma,Denmark,GOOD,"boutique/specialist, regulatory/QA focus",Billev Pharma specializes in Regulatory Affairs and Pharmacovigilance for the Pharmaceutical industry and helps in situations where the companies in question either have no specialized staff or have too little capacity. Over the years the consultancy assisted companies with assignments ranging from national registrations over the Mutual Recognition to Decentralised and Centralised procedures.,(enrich from site),(enrich from site),http://billevpharma.dk/,SimplerQMS directory
TOP Medical,Netherlands,GOOD,boutique/specialist,"TOP Medical has a qualified team of experts, experienced in the assessment and commercialization of Medical Devices. The consulting company addresses the growing market need for Clinical Trial Services, Logistics, Customer Service, Training, and Sales & Marketing Consultancy.",(enrich from site),(enrich from site),http://www.top-medical.com/en/,SimplerQMS directory
Zwiers Regulatory Consultancy,Netherlands,GOOD,regulatory/QA focus,"Zwiers Regulatory Consultancy provides full regulatory support for Medical Device and Pharmaceutical companies, throughout the entire product lifecycle. From initial clinical trial application to post-marketing compliance. The consulting firm’s services include Regulatory Strategic Advice, Medical Writing, Regulatory Intelligence, and Training.",(enrich from site),(enrich from site),https://www.az-regulatory.com/,SimplerQMS directory
PCS – Pharmaceutical Consultancy Services,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","PCS – Pharmaceutical Consultancy Services provides specialized services to the Pharmaceutical, Medical Devices, and related health care industries to meet current regulatory requirements. Due to its extensive network of associates, PCS can provide a specialized project team to meet all GxP/ QA/ Validation/ Training and Regulatory requirements.",(enrich from site),(enrich from site),https://www.pcs-nl.com/,SimplerQMS directory
Interdos,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","Interdos offers consultancy services for Human Pharmaceutical products, Medical Devices (CE products), and Nutraceuticals. The firm has a team of experts in a range of professional services: Regulatory Support, Clinical Studies, Pharmacovigilance Services, and Quality Assurance activities.",(enrich from site),(enrich from site),https://www.interdos.nl/,SimplerQMS directory
CEpartner4U,Netherlands,GOOD,regulatory/QA focus,"CEpartner4U serves as a consultant and Authorized Representative (AR or EC Rep) under the European Medical Device Directives. CEpartner4U services include on-site and cyber consulting for all products under the Medical Device Directive (MDD), in-vitro diagnostic Device Directive (IVDD), and Active Implantable Medical Device Directive (AIMDD). Main areas of expertise include Regulatory Affairs, Qua",(enrich from site),(enrich from site),https://www.cepartner4u.com/,SimplerQMS directory
2BMedical,Netherlands,GOOD,boutique/specialist,"2BMedical is a small firm that develops Medical Device Concepts and provides as well consultancy as contract research to its customers. It provides consultancy services such as Business Development, Marketing, Feasibility, and Due Diligence Studies, Project and Innovation Management, Management Consultancy, Clinical Studies, Congresses, Text Writing.",(enrich from site),(enrich from site),https://2bmedical.com/,SimplerQMS directory
PSR Orphan Experts,Netherlands,GOOD,regulatory/QA focus,"PSR is a full-service Orphan Drug CRO, it provides Biopharmaceutical companies with a variety of services that allow end-to-end solutions spanning the whole Orphan drug development cycle. The firm can support clients with an integrated approach from Regulatory Strategy through to conducting the necessary Clinical Studies in all development phases.",(enrich from site),(enrich from site),https://orphandrugexperts.com/,SimplerQMS directory
DADA Consultancy,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","DADA Consultancy is one of the leading independent consulting agencies for Regulatory Affairs in Europe, the firm offers a full range of high quality and tailored regulatory and pharmacovigilance services for human and veterinary products. DADA Consultancy has a team of experts is highly trained Chemical, Pharmaceutical, and Biomedical professionals, supported by a wide network of external scienti",(enrich from site),(enrich from site),https://www.dada.nl/,SimplerQMS directory
CURARE,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","CURARE is a consultancy firm that specializes in designing strategies for early clinical drug development programs. The firm has a team of experts that have a strong drive and a pragmatic approach to make each project successful within the budget and time constraints given. CURARE’s main areas of expertise are Strategic Clinical Drug Development, Clinical Pharmacology, and Clinical Regulatory supp",(enrich from site),(enrich from site),https://www.curareconsulting.com/,SimplerQMS directory
Occams,Netherlands,GOOD,regulatory/QA focus,"Occams provides strategic services to companies in the Pharmaceutical industry. The firm offers its services not only in the Netherlands but also globally, and specializes in the field of population pharmacokinetics, advanced PK/PD modeling, and drug-disease modeling and simulation. In addition, Occams offers services in the area of preparation and/or review of documentation for regulatory submiss",(enrich from site),(enrich from site),https://www.occams.com/,SimplerQMS directory
Progress-PME,Netherlands,GOOD,regulatory/QA focus,"Progress-PME consultancy partner for businesses in the Pharmaceutical and Biotechnology industries, as well as the Healthcare sector. The company provides knowledge and expertise in phases ranging from drug development to commercial manufacturing. Progress-PME operates primarily in The Netherlands and offers services related to Project Management, Engineering, Validation, and Quality Assurance.",(enrich from site),(enrich from site),https://www.progress-pme.nl/,SimplerQMS directory
Regivet,Netherlands,GOOD,boutique/specialist,"Regivet is a small, independent consulting firm that specialized in the development and registration of veterinary pharmaceuticals in Europe. the company has experience in the development of different formulations like tablets, powders, injection fluids (solutions and suspensions), intramammary, and topical products.",(enrich from site),(enrich from site),http://regivet.com/,SimplerQMS directory
DGr Pharma,Netherlands,GOOD,regulatory/QA focus,"DGr Pharma aims to promote a fast and high-quality drug development process in close cooperation with the Pharmaceutical and Biotech companies through consultancy and contract research services. DGr Pharma provides consultancy services in early phase drug development with a focus on PK, Clinical Pharmacology, CMC, Regulatory Affairs, and IT support.",(enrich from site),(enrich from site),https://www.dgrpharma.com/,SimplerQMS directory
Kantisto Separation Sciences,Netherlands,GOOD,boutique/specialist,"Kantisto is an independent Chemical and Pharmaceutical analysis consultancy that offers support in practical and strategic issues through long or short-term assignments, such as Method Development, Validation, and Implementation. Furthermore, Kantisto can assist in the areas of quality by design, pragmatic quality systems, and document writing and reviewing. The firm also provides in-company train",(enrich from site),(enrich from site),https://www.kantisto.nl/index.php,SimplerQMS directory
AUTHOR! Data Analysis and Reporting,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","AUTHOR! provides medical writing services and data analysis support for a large number of Pharmaceutical and Biotechnical companies throughout Europe. The company works in close collaboration with international multidisciplinary clinical teams of medical professionals, advisors, regulatory affairs specialists, statisticians, data managers, SAS-programmers, and document formatting experts.",(enrich from site),(enrich from site),https://www.author.nl/,SimplerQMS directory
Quality RA,Netherlands,GOOD,"boutique/specialist, regulatory/QA focus","Quality RA is a small consultancy firm with experience in the fields of recombinant proteins, cell and gene therapy, monoclonal antibodies, and viral vaccines. The company provides advice on Regulatory Affairs (RA) and/or Chemistry Manufacturing & Controls (CMC) in the Pharmaceutical and Biotech industry.",(enrich from site),(enrich from site),https://www.qualityra.nl/,SimplerQMS directory
KEY2COMPLIANCE,Sweden,GOOD,regulatory/QA focus,"KEY2COMPLIANCE specializes in Regulatory Affairs, Quality Assurance, Biological Evaluations and Toxicology, and Clinical Development services specifically for Medical Device Companies for companies involved in the development, manufacturing and beyond. The firm also offers programs for Training and Education for both Pharmaceuticals and Medical device products throughout the full product life cycl",(enrich from site),(enrich from site),https://key2compliance.com/,SimplerQMS directory
Clarvin,Sweden,GOOD,regulatory/QA focus,Clarvin is a consulting firm focused exclusively on Regulatory Affairs and Quality Assurance for Medical Devices. The firm has extensive experience with EU and US medical device regulations and aims to create value for its clients by providing customized strategic input to the company´s regulatory compliance scheme.,(enrich from site),(enrich from site),https://clarvin.com/,SimplerQMS directory
Scandinavian CRO,Sweden,GOOD,boutique/specialist,"Scandinavian CRO is a full-service Contract Research Organisation offering both consultancy and specific, stand-alone services. The company performs complete studies or parts of projects within the field of clinical trials for both Pharmaceuticals and Medical Device. When hiring a consultant from Scandinavian CRO, you can choose between specialists, like project managers, clinical research associa",(enrich from site),(enrich from site),https://scro.se/,SimplerQMS directory
Scandinavian Regulatory Services (SRS),Sweden,GOOD,"boutique/specialist, regulatory/QA focus","Scandinavian Regulatory Services (SRS) is a consultancy company offering regulatory expertise and services to the Medical Device, Pharmaceutical, and associated industries. SRS has a team of Regulatory Affairs and Quality Systems specialists with extensive experience from all different aspects of Regulatory Affairs and Quality covering a wide range of products.",(enrich from site),(enrich from site),https://www.srs.se/,SimplerQMS directory
SDS MedteQ,Sweden,GOOD,regulatory/QA focus,"SDS MedteQ provides consultancy services within the Medical Device field. The company specializes primarily within areas like Regulatory affairs, Registration/Submission, Quality Assurance, QMS Development, Technical Documentation, Gap Analyses, Biocompatibility, Statistics, and Project Management.",(enrich from site),(enrich from site),https://sdsmedteq.com/,SimplerQMS directory
QARA Consulting,Sweden,GOOD,regulatory/QA focus,"QARA Consulting is a consultancy company with a team of senior, expert consultants supporting clients in the Medical Device industry. The firm offers a complete range of multidisciplinary quality and regulatory services from initial device classification, technical file writing, and clinical evaluations, to post-market surveillance.",(enrich from site),(enrich from site),https://www.qaraconsulting.se/,SimplerQMS directory
RegSmart Life Science,Sweden,GOOD,regulatory/QA focus,"RegSmart Life Science is a regulatory consultancy firm that helps Medical Device and Pharmaceutical companies navigate in a complex and evolving regulatory landscape. With long regulatory and scientific experience from senior roles at the regulatory agency and from small and big Life Science companies, the firm can build your regulatory strategy in line with current thinking.",(enrich from site),(enrich from site),https://regsmart.se/,SimplerQMS directory
QAdvis,Sweden,GOOD,regulatory/QA focus,"QAdvis is a longstanding provider of Quality and System Management, Risk Management, Compliance, Training, Interim Management, and Regulatory Affairs. Offering a thorough knowledge and understanding of the Medical Device industry, based on 30 years of professional experience, QAdvis has the tools to help take MedTech innovations to domestic and international markets.",(enrich from site),(enrich from site),https://www.qadvis.com/,SimplerQMS directory
Scientific Solutions Scandinavia,Sweden,GOOD,"boutique/specialist, regulatory/QA focus","Scientific Solutions Scandinavia specializes in management and specialist roles mainly within Regulatory and Medical Affairs, QA, PV, and Compliance. The firm provides clients with customized solutions of scientific professionals – temporary, permanent, or somewhere in between and is passionate about matching company needs with individual experience, personality, and commitment.",(enrich from site),(enrich from site),http://www.scientificsolutions.se/english/,SimplerQMS directory
MedQtech,Sweden,GOOD,regulatory/QA focus,MedQtech is a consulting company with experienced professionals with high competence who support customers in the Medical Device industry within areas like Quality and Regulatory compliance. The firm can support you in writing specific processes or implementing a full Quality Management System. It also provides customized training within the regulatory and quality field in the Medical Device Indus,(enrich from site),(enrich from site),https://www.medqtech.se/,SimplerQMS directory
Pharm Assist,Sweden,GOOD,regulatory/QA focus,"Pharm Assist is a consultant and service company offering regulatory solutions for Medical Device and Pharmaceutical companies. The company has a team with a strong scientific and regulatory background provides tailor-made services in Regulatory Affairs, Pharmacovigilance, Medical Writing, and GDP to national and international companies.",(enrich from site),(enrich from site),https://www.pharmassist.se/,SimplerQMS directory
Fjord Consulting,Sweden,GOOD,regulatory/QA focus,"Fjord Consulting performs consulting services in the areas of Quality Management, Product Development, Project Management, Training, and Product Registrations. The main branch is within the Medical Device and the Life Science industry. The firm has consultants with more than 12 years of experience in leading positions within this area.",(enrich from site),(enrich from site),https://www.fjordconsulting.se/en-GB,SimplerQMS directory
Devicia,Sweden,GOOD,regulatory/QA focus,"Devicia provides full-service solutions and consultancy services within the Medical Device industry. The firm specializes in Quality, Regulatory, and Clinical Affairs. Therefore, it offers full-service solutions within Medical Writing, Clinical Investigation consultancy services, Regulatory Affairs, and Training modules within regulatory and clinical processes.",(enrich from site),(enrich from site),https://devicia.com/,SimplerQMS directory
Truly Translational Sweden,Sweden,GOOD,boutique/specialist,"Truly Translational Sweden provides consultancy and experimental services within translational science in a tailored manner to support the Pharmaceutical and Life Science industry. The main areas of expertise for the firm are Strategic Project Planning, Pre-Clinical Development, Precision Medicine, and Business Development.",(enrich from site),(enrich from site),https://www.trulytranslational.com/,SimplerQMS directory
Arex Advisor,Sweden,GOOD,"boutique/specialist, regulatory/QA focus","Arex Advisor is an employee-owned company that helps Pharmaceutical companies bringing medicines to the market. Arex has a team of experts in Regulatory Affairs, Market Access, and Strategic Business Development. The firm offers strategic advice and operational expertise throughout the whole product life-cycle.",(enrich from site),(enrich from site),https://www.arexadvisor.com/,SimplerQMS directory
SDS Life Science,Sweden,GOOD,"boutique/specialist, regulatory/QA focus","Scandinavian Development Services (SDS) Life Science are specialized in regulatory and scientific knowledge in Pharmaceutical development, Medical Device, and statistics. The company provides expert advice on formulation development, planning of both clinical and non-clinical programs, as well as medicinal product development.",(enrich from site),(enrich from site),https://sdslifescience.com/,SimplerQMS directory
Willuhn Consulting,Sweden,GOOD,regulatory/QA focus,"Willuhn Consulting provides technical expertise within Pharmaceutical development and manufacturing. The consultancy firm services within areas like manufacturing and development strategies, technical investigations and problem-solving, CMO selection, contracting, and partner management, as well as CMC documentation which includes regulatory dossier writing and review.",(enrich from site),(enrich from site),http://willuhn.se/,SimplerQMS directory
Nordic Market Access (NMA),Sweden,GOOD,boutique/specialist,"Nordic Market Access (NMA) has a long and broad experience of market access in the Nordics – in therapeutic areas from highly specialized products and rare diseases to primary care products. The firm specializes in Market Access Strategy and Portfolio, Reimbursement Submissions, Health Economics, and can also provide Market Access Training.",(enrich from site),(enrich from site),https://nordicmarketaccess.com/,SimplerQMS directory
Pharmetheus,Sweden,GOOD,regulatory/QA focus,"Pharmetheus is a consulting firm that offers services focused on the application of quantitative approaches to support drug development decisions. The firm supports a wide variety of drug development decisions, including dose selection, developing pediatric development plans, investigating the potential risk for QTc prolongation, providing regulatory advice and more.",(enrich from site),(enrich from site),https://pharmetheus.com/,SimplerQMS directory
GXP CONSULTING,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","GXP CONSULTING is a consulting company specialized in Life Sciences which provides high-quality support to its customers through a full range of services throughout the whole product lifecycle. The firm specializes in areas like Quality Assurance, Qualification/Validation, Regulatory Affairs, Operational Excellence, Engineering, Manufacturing and Maintenance, and Project Management.",(enrich from site),(enrich from site),http://www.gxp-cs.com/en,SimplerQMS directory
Avanti Europe,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","Avanti Europe is a specialist consultancy and knowledge management company. The company provides expert support and offers solutions during the entire product lifecycle in highly regulated industrial areas including Medical Devices, Pharmaceuticals, and more. The firm provides services within Design & Development, Project Management, Quality Assurance, Regulatory Affairs, Risk Management, and Proc",(enrich from site),(enrich from site),https://www.avanti-europe.ch/,SimplerQMS directory
Carag,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","Carag offers specialized engineering and Medical Device consulting services that provide its clients with advantages in their markets without taking center stage itself. The broad range of services starts with technical feasibility checks and continues with product development through marketing approvals, regardless of the regulatory complexity.",(enrich from site),(enrich from site),https://www.carag.com/en/,SimplerQMS directory
The Tao of Excellence,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","The Tao of Excellence is a team of experts that provide hands-on support and specialist services for Medical Device manufacturers. The firm assists clients within areas like Regulatory Strategy, Compliance, Audit readiness, Certification, and Quality Management System related topics.",(enrich from site),(enrich from site),https://taoexcellence.ch/,SimplerQMS directory
Trinzo,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","Trinzo is a consultancy that works with Medical Device companies to help solve their quality and regulatory compliance challenges. The firm applies a personalized approach to the customer’s needs and provides a wide range of services, including, Quality and Regulatory Compliance & Remediation, Project Management, Lean Quality Systems, Interim Leadership, and Talent Acquisition.",(enrich from site),(enrich from site),https://www.trinzo.com/,SimplerQMS directory
QUNIQUE,Switzerland,GOOD,regulatory/QA focus,"QUNIQUE is a consulting company that provides Medical Device companies with customized solutions for Quality Management Systems (QMS), supporting the implementation of new processes and training personnel appropriately. Its services cover the whole range, from creating a template or a standard operating procedure (SOP) to implementing a full QMS in compliance with the regulations.",(enrich from site),(enrich from site),https://quniquegroup.com/,SimplerQMS directory
GMB Services,Switzerland,GOOD,regulatory/QA focus,"GMB Services is a multi-disciplinary consulting company providing solutions for complex Medical Devices. GMB Services can assist companies within specific or all PLM phases. Moreover, the firm provides services within areas like Regulatory Affairs and Quality Assurance consulting services (CE marking, FDA submission, QMS).",(enrich from site),(enrich from site),https://gmb-services.com/,SimplerQMS directory
Meditec Consulting,Switzerland,GOOD,regulatory/QA focus,"Meditec Consulting is a firm that specializes in Regulatory and Quality Consulting services throughout the product life-cycle to help manufacturers comply with these regulatory requirements. Firms consultants have many years of experience with different regulations in various countries for medical devices, In-vitro Diagnostics, Combination Products, Pharmaceuticals, and Biologics.",(enrich from site),(enrich from site),https://www.meditec-consulting.ch/,SimplerQMS directory
Aston Life Sciences,Switzerland,GOOD,regulatory/QA focus,"Aston Life Sciences offers Consulting and Recruitment services for its clients in the Life Sciences Industries like Pharma, Biotech, Medical Devices, Cosmetic, Diagnostic, Drug Delivery Devices, and others. The firm is usually involved in consulting projects like Engineering, Quality Assurance, Regulatory Affairs, Clinical Trials, GxP information systems, and more.",(enrich from site),(enrich from site),https://www.consultys.ch/,SimplerQMS directory
ATP-CGPharm Group,Switzerland,GOOD,regulatory/QA focus,"The ATP-CGPharm Group is a consultancy that helps to support the improvement of the manufacturing processes and quality programs to ensure medical product quality, patient safety, and strict compliance with regulatory requirements. The company offers a broad range of services in GxP Engineering, Commissioning, Qualification & Validation, Quality Assurance, Quality Control, and Environmental Monito",(enrich from site),(enrich from site),https://atp-cgpharm-group.com/,SimplerQMS directory
ObelysQ,Switzerland,GOOD,boutique/specialist,"ObelysQ is a dynamic consulting company providing high-level expertise and innovative tailored solutions to the Pharmaceutical industry to optimize the execution of Clinical Trials. The firm offers services like GCP consulting, GCP and GVP auditing, SOP Development, Health Authority inspections, Training and Gap Analysis.",(enrich from site),(enrich from site),https://obelysq.com/en/home,SimplerQMS directory
Intilaris LifeSciences,Switzerland,GOOD,regulatory/QA focus,"Intilaris is a consulting and services company focused on helping Pharma companies to foster innovation, improve productivity and performance, and develop effective business strategies. The company delivers expertise across Strategy, Consulting, Digital, Technology, and Operations and specialize in areas like Project Management, Risk Management, Quality Management, Clinical Trial Management, Valid",(enrich from site),(enrich from site),https://pharma.intilaris.com/,SimplerQMS directory
Sensus Group,UK & Ireland,GOOD,"boutique/specialist, regulatory/QA focus","Sensus offers specialist consultancy, training and resource in delivering and implementing compliance of the new EU medical device (EUMDR 2017/745) and in-vitro (IVDR 2017/746) regulations.",(enrich from site),(enrich from site),https://sensus-group.com/,SimplerQMS directory
Meddev Solutions,UK & Ireland,GOOD,regulatory/QA focus,"Team of experienced UK based medical device consultants, working in the medical device industry for both manufacturers and notified bodies. Meddev was voted the ‘Best-In-Class’ Medical Device Regulatory Consultancy company of 2020 by MedTech Outlook magazine.",(enrich from site),(enrich from site),https://www.meddevsolutions.co.uk/,SimplerQMS directory
Confinis,UK & Ireland,GOOD,regulatory/QA focus,"Regulatory consultancy specializing in providing advice and services to the medical device, combination product, and IVDD manufacturers.Particular expertise in new product development from idea through registration to commercialization and post-market activities.",(enrich from site),(enrich from site),https://www.confinis.com/,SimplerQMS directory
Triune Technologies,UK & Ireland,GOOD,"boutique/specialist, regulatory/QA focus","Medical Device Consultancy that offers hands-on support for quality systems, including ISO 13485, 21 CFR 820, CMDCAS, auditing, gap analysis, mock regulatory inspections, process validation, regulatory submissions on 510k, CE Mark.",(enrich from site),(enrich from site),http://triunetech.co/,SimplerQMS directory
Sterile Management Systems,UK & Ireland,GOOD,regulatory/QA focus,"Auditing, training and consultancy services for medical device industry with a focus on design, quality management and regulatory compliance and special expertise in decontamination and sterilisation.",(enrich from site),(enrich from site),https://www.sterilemanagementsystems.com/,SimplerQMS directory
Lorit Consultancy,UK & Ireland,GOOD,regulatory/QA focus,"Lorit Consultancy offers consultancy, support, training and online-courses in functional safety related projects in the medical, automotive and reliability sectors. Medical: IEC 60601-1, IEC 62304, ISO 14971, IEC 62366-1, AAMI TIR57 Automotive: ISO 26262, Automotive SPICE®, SAE J3061, IEC 61508 Reliability: IEC 61709, SN 29500, FIDES and DO-178C and DO-254 Quality Management: IATF 16949, ISO 13485",(enrich from site),(enrich from site),https://lorit-consultancy.com/,SimplerQMS directory
International Device Solutions,UK & Ireland,GOOD,boutique/specialist,"Independent and nonexclusive consultant and subject matter expert for global pharmaceutical, medical device, financial and legal companies. From unmet needs to manufacturing control and scale-up.",(enrich from site),(enrich from site),https://www.idevices.ch/,SimplerQMS directory
Repower Quality,UK & Ireland,GOOD,regulatory/QA focus,"Owned by Rebecca Power, Repower Quality provides Quality Assurance consultancy and Electronic Quality Management System (EQMS) implementation support, primarily to the cGMP-regulated Pharmaceutical and Biopharmaceutical industry in Ireland.",(enrich from site),(enrich from site),https://repowerquality.com/,SimplerQMS directory
